"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Order","Order","","","",0,*,"","","","null {[]} {[]}
","A2, A3 - Order","Order information and reason. Sections A2 and A3 of the eHN guideline.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Order.orderDetails","Order.orderDetails","","","",0,1,"","","","BackboneElement {[]} {[]}
","A.2 Order information","A.2 Order information (Laboratory Result Report could respond to multiple test orders)","","","","","","","","","",,,,,"",,,,"Order.orderDetails",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Order.orderDetails.id","Order.orderDetails.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Order.orderDetails.extension","Order.orderDetails.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Order.orderDetails.modifierExtension","Order.orderDetails.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Order.orderDetails.identifier","Order.orderDetails.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","A.2.1 Order Id","An identifier of the laboratory test order. Laboratory Result Report may respond to multiple orders.","","","","","","","","","",,,,,"",,,,"Order.orderDetails.identifier",0,*,"",""
"Order.orderDetails.dateTime","Order.orderDetails.dateTime","","","",0,*,"","","","dateTime {[]} {[]}
","A.2.2 Order date and time","Date and time of the order placement. - Preferred system(s): ISO 8601","","","","","","","","","",,,,,"",,,,"Order.orderDetails.dateTime",0,*,"",""
"Order.orderDetails.orderPlacerIdentifier","Order.orderDetails.orderPlacerIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","A.2.3 Order placer identifier","The health professional identification number. Either an internal identifier assigned by a healthcare provider institution or (preferably) a national health professional ID such as the license or registration number. In case when order placer is not a health professional, e.g. by patients themselves where applicable, appropriate personal identifier should be used.","","","","","","","","","",,,,,"",,,,"Order.orderDetails.orderPlacerIdentifier",0,*,"",""
"Order.orderDetails.orderPlacerName","Order.orderDetails.orderPlacerName","","","",0,*,"","","","HumanName {[]} {[]}
","A.2.4 Order placer name","Person name.","","","","","","","","","",,,,,"",,,,"Order.orderDetails.orderPlacerName",0,*,"",""
"Order.orderDetails.orderPlacerContacts","Order.orderDetails.orderPlacerContacts","","","",0,*,"","","","BackboneElement {[]} {[]}
","A.2.5 Order placer contact details","Contact details of order placer (address and telecom details).","","","","","","","","","",,,,,"",,,,"Order.orderDetails.orderPlacerContacts",0,*,"",""
