"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Subject","Subject","","","",0,*,"","","","null {[]} {[]}
","A1.1, A1.2 - Subject of care","Patient or Subject of care. Sections A1.1 and A1.2 of the eHN guideline.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Subject.identification","Subject.identification","","","",1,1,"","","","BackboneElement {[]} {[]}
","A.1.1 Identification of the patient/subject","A.1.1 Identification of the patient/subject","","","","","","","","","",,,,,"",,,,"Subject.identification",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Subject.identification.id","Subject.identification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Subject.identification.extension","Subject.identification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Subject.identification.modifierExtension","Subject.identification.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Subject.identification.familyName","Subject.identification.familyName","","","",0,*,"","","","string {[]} {[]}
","A.1.1.1 Familyname/surname","The family name/surname/last name of the patient. This field can contain more than one element or multiple fields could be present.","","","","","","","","","",,,,,"",,,,"Subject.identification.familyName",0,*,"",""
"Subject.identification.givenName","Subject.identification.givenName","","","",0,*,"","","","string {[]} {[]}
","A.1.1.2 Given name","The given name/first name of the patient (also known as forename or first name). This field can contain more than one element.","","","","","","","","","",,,,,"",,,,"Subject.identification.givenName",0,*,"",""
"Subject.identification.dateOfBirth","Subject.identification.dateOfBirth","","","",0,1,"","","","dateTime {[]} {[]}
","A.1.1.3 Date of birth","The date of birth of the patient [ISO TS 22220]. As age of the patient might be important for correct interpretation of the test result values, complete date of birth should be provided. - Preferred system(s): Complete date, without time, following the ISO 8601","","","","","","","","","",,,,,"",,,,"Subject.identification.dateOfBirth",0,1,"",""
"Subject.identification.identifier","Subject.identification.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","A.1.1.4 Personal identifier","An identifier of the patient that is unique within a defined scope. Example: National ID (birth number) for Czech patient. Multiple identifiers could be provided.","","","","","","","","","",,,,,"",,,,"Subject.identification.identifier",0,1,"",""
"Subject.identification.gender","Subject.identification.gender","","","",0,1,"","","","CodeableConcept {[]} {[]}
","A.1.1.5 Gender","This field must contain a recognised valid value for 'administrative gender'. 
If different, 'physiological gender' should be communicated elsewhere
Preferred system(s): - Preferred system(s): HL7 Administrative Gender","","","","","","","","","",,,,,"",,,,"Subject.identification.gender",0,1,"",""
